Depth sed [m]	N. pachyderma s [%]	N. pachyderma s [#]	Foram plankt indet [#]	Foram plankt [#/10 cm**3]	N. pachyderma s [#/g]	Foram plankt indet [#/g]
1.89	97.3	460	473	119	23	24.1
1.90	99.4	1434	1442	193		
1.91	98.8	4008	4056	897	183	185.4
1.92	99.5	8958	9006	1594	227	228.4
1.93	99.2	18878	19038	3370	425	428.6
1.94	98.4	986	1074	190	27	29.6
1.95	99.3	8862	8926	1580	253	254.6
1.96	98.5	4222	4286	759	142	143.8
1.97	98.9	2190	2214	392	73	73.6
1.98	97.0	7150	7374	1305	183	188.2
1.99	98.4	8718	8862	1568	241	245.0
2.00	99.4	10014	10078	1347		
2.01	99.3	1794	1806	638	178	179.4
2.02	97.7	3774	3862	684	114	116.4
2.03	97.8	3846	3934	696	102	104.6
2.04	97.3	1022	1050	186	32	32.6
2.05	99.3	5142	5178	916	148	148.8
2.06	97.4	1782	1830	324	54	55.0
2.07	98.2	1294	1318	233	37	37.4
2.08	96.9	284	293	52	9	9.7
2.09	99.1	459	463	82	11	10.9
2.10	99.3	3494	3518	470		
2.11	100.0	1206	1206	426	227	227.5
2.12	97.9	8142	8318	1472	211	215.8
2.13	97.8	5646	5774	1022	236	241.5
2.14	97.5	7614	7806	1382	182	186.5
2.15	98.8	6574	6654	1178	179	180.8
2.16	98.6	5710	5790	1025	137	139.1
2.17	98.2	4286	4366	773	92	93.4
2.18	97.7	2750	2814	498	80	82.2
2.19	96.3	3534	3670	650	73	75.7
2.20	97.9	2939	3003	519		
2.21	95.4	2262	2370	524	108	113.3
2.22	93.5	2310	2470	437	94	100.4
2.23	97.6	6382	6542	1158	127	130.3
2.24	98.0	4718	4814	852	134	136.9
2.25	98.6	5534	5614	994	177	179.8
2.26	97.5	7342	7534	1333	184	188.4
2.27	97.6	5278	5406	957	162	166.1
2.28	97.6	5838	5982	1059	134	137.6
2.29	97.0	7294	7518	1331	170	175.5
2.30	98.2	12350	12574	2782	309	314.8
2.31	98.5	5326	5406	934		
2.32	98.2	2558	2606	461	126	128.0
2.33	98.0	4814	4910	869	137	139.3
2.34	100.0	6878	6878	1217	183	183.4
2.35	98.7	7278	7374	1305	205	207.8
2.36	99.4	2750	2766	490	118	118.3
2.37	98.7	2430	2462	436	63	63.6
2.38	97.2	1646	1694	300	50	51.1
2.39	96.6	228	236	42	8	8.2
2.40	100.0	366	366	81	9	8.7
2.41	98.4	754	766	132		
2.42	96.5	275	285	50	10	9.9
2.43	98.9	1426	1442	255	28	28.2
2.44	98.4	2966	3014	533	109	110.4
2.45	99.0	6494	6558	1161	196	197.9
2.46	98.9	5902	5966	1056	187	189.5
2.47	97.4	9630	9886	1750	235	241.3
2.48	97.8	18334	18750	3319	429	439.2
2.49	96.5	4398	4558	807	199	206.4
2.50	97.9	5182	5294	1871	164	167.2
2.51	97.8	5710	5838	1008		
2.52	96.5	7966	8254	1123	137	141.5
2.53	98.8	4030	4078	722	135	137.1
2.54	95.4	4638	4862	861	108	113.4
2.55	96.0	4638	4830	855	125	130.1
2.56	96.8	3918	4046	716	117	121.3
2.57	98.7	3662	3710	657	77	77.7
2.58	97.7	2366	2422	429	76	78.2
2.59	98.2	2206	2246	398	67	67.8
2.60	99.6	1856	1864	550	58	58.3
2.61	96.4	1406	1458	195		
2.62	97.0	1806	1862	366	62	63.4
2.63	96.1	3582	3726	659	92	96.2
2.64	97.8	9982	10206	1806	223	228.3
2.65	97.4	6638	6814	1206	131	134.0
2.66	96.8	6686	6910	1223	168	173.5
2.67	98.9	8766	8862	1568	209	210.8
2.68	97.6	6542	6702	1186	173	177.7
2.69	97.8	14078	14398	2548	259	265.2
2.70	97.3	8190	8414	1453		
2.71	98.1	5838	5950	1316	222	226.3
2.72	96.8	6846	7070	1251	231	239.0
2.73	97.7	13310	13630	2412		
2.74	97.0	9214	9502	1682	265	273.1
2.75	97.5	8254	8462	1498	217	222.6
2.76	97.3	6878	7070	1251	203	209.1
2.77	99.1	10302	10398	1840	256	258.6
2.78	99.5	13534	13598	2407	369	370.6
2.79	96.3	1886	1958	347	57	58.7
2.80	97.1	202	208	46	7	7.2
2.81	96.8	181	187	32		
2.82	97.3	144	148	26	5	5.6
2.83	99.5	220	221	39	6	5.9
2.84	98.7	151	153	27	5	5.4
2.85	97.7	518	530	94	15	15.7
2.86	97.6	12958	13278	2350	348	356.4
2.87	98.0	5390	5502	974	144	146.8
2.89	97.0	9054	9334	1652	273	281.4
2.90	97.5	8654	8878	1571	266	272.6
2.91	97.4	2390	2454	1444	135	138.4
2.92	99.5	9528	9576	2055		
2.92	99.6	560	562	331	62	62.3
2.93	97.5	1682	1726	305	44	45.2
2.94	96.4	758	786	139	24	25.2
2.95	98.8	3214	3254	576	95	95.9
2.96	97.5	5070	5198	920	123	126.2
2.97	97.4	5390	5534	979	160	164.6
2.98	97.5	7390	7582	1342	144	148.0
2.99	97.1	4238	4366	773	122	125.8
3.00	98.0	3982	4062	899	93	94.9
3.01	95.8	5486	5726	989		
3.02	96.6	4270	4422	783	126	131.0
3.03	98.0	3966	4046	716	98	100.5
3.04	96.1	3582	3726	659	94	98.2
3.05	97.9	4494	4590	812	113	115.0
3.06	98.0	8414	8590	1520	198	202.2
3.07	97.3	4270	4390	777	131	134.8
3.08	96.2	5630	5854	1036	127	132.6
3.09	97.0	3926	4046	716	95	98.4
3.10	93.4	3182	3294	729	121	124.8
3.11	99.0	3214	3246	561		
3.12	96.8	2878	2974	526	92	94.6
3.13	97.3	4046	4158	736	105	108.1
3.14	97.3	5166	5310	940	130	133.1
3.15	97.4	4830	4958	878	132	135.7
3.16	99.0	4526	4574	810	103	104.4
3.17	99.0	4878	4926	872	105	106.4
3.18	95.5	4398	4606	815	101	105.4
3.19	97.7	6654	6814	927	119	121.6
3.20	97.9	6062	6190	719		
3.21	97.3	2910	2990	529	111	114.1
3.22	97.5	3798	3894	689	95	97.4
3.23	98.5	3070	3118	552	97	98.3
3.24	96.5	4838	5014	887	121	125.1
3.25	98.0	4366	4454	788	120	122.1
3.26	96.8	3366	3478	616	102	105.6
3.27	97.8	2894	2958	524	87	88.6
3.28	93.1	4318	4638	821	86	92.5
3.29	98.2	2646	2694	522	101	102.5
3.30	95.9	4128	4306	834	131	136.2
