Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Relative Abundance
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.13,symbiont-barren,non-spinose,0.06770833333
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.13,symbiont-barren,spinose,0.05729166667
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.13,symbiont-bearing,non-spinose,0
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.13,symbiont-bearing,spinose,0.00520833333
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.13,symbiont-facultative,non-spinose,0.67708333327
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.13,symbiont-obligate,spinose,0.10416666667
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.13,undetermined,non-spinose,0
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.17,symbiont-barren,non-spinose,0.09047619048
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.17,symbiont-barren,spinose,0.02857142857
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.17,symbiont-bearing,non-spinose,0
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.17,symbiont-bearing,spinose,0
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.17,symbiont-facultative,non-spinose,0.71428571429
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.17,symbiont-obligate,spinose,0.0857142857
31-KL,Hydraulic piston core,18.75,115.87,3360,SCS,2.17,undetermined,non-spinose,0
6706-2,,42.16,-124.94,1120,"Pacific, NE",259,symbiont-barren,non-spinose,0.549
6706-2,,42.16,-124.94,1120,"Pacific, NE",259,symbiont-barren,spinose,0.421
6706-2,,42.16,-124.94,1120,"Pacific, NE",259,symbiont-bearing,non-spinose,0
6706-2,,42.16,-124.94,1120,"Pacific, NE",259,symbiont-bearing,spinose,0
6706-2,,42.16,-124.94,1120,"Pacific, NE",259,symbiont-facultative,non-spinose,0.03
6706-2,,42.16,-124.94,1120,"Pacific, NE",259,symbiont-obligate,spinose,0
6706-2,,42.16,-124.94,1120,"Pacific, NE",259,undetermined,non-spinose,0
80KB11,Piston,36.5,24.3,795,Mediterranean,0.89,symbiont-barren,non-spinose,0.480132450331126
