Event,Latitude,Longitude,Depth sed [m],Symbiosis,Spine,Absolute Abundance
MD95-2040,40.581833,-9.861167,4.73,symbiont-facultative,non-spinose,136
MD95-2040,40.581833,-9.861167,4.73,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.73,symbiont-obligate,spinose,43
MD95-2040,40.581833,-9.861167,4.73,undetermined,non-spinose,12
MD95-2040,40.581833,-9.861167,4.76,symbiont-barren,non-spinose,296
MD95-2040,40.581833,-9.861167,4.76,symbiont-barren,spinose,197
MD95-2040,40.581833,-9.861167,4.76,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.76,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.76,symbiont-facultative,non-spinose,122
MD95-2040,40.581833,-9.861167,4.76,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.76,symbiont-obligate,spinose,24
MD95-2040,40.581833,-9.861167,4.76,undetermined,non-spinose,5
MD95-2040,40.581833,-9.861167,4.79,symbiont-barren,non-spinose,319
MD95-2040,40.581833,-9.861167,4.79,symbiont-barren,spinose,154
MD95-2040,40.581833,-9.861167,4.79,symbiont-bearing,non-spinose,0
MD95-2040,40.581833,-9.861167,4.79,symbiont-bearing,spinose,0
MD95-2040,40.581833,-9.861167,4.79,symbiont-facultative,non-spinose,106
MD95-2040,40.581833,-9.861167,4.79,symbiont-facultative,spinose,0
MD95-2040,40.581833,-9.861167,4.79,symbiont-obligate,spinose,46
MD95-2040,40.581833,-9.861167,4.79,undetermined,non-spinose,2
MD95-2040,40.581833,-9.861167,4.82,symbiont-barren,non-spinose,225
