Latitude,Longitude,symbiont-barren spinose,undetermined non-spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,symbiont-barren non-spinose,symbiont-bearing spinose,symbiont-bearing non-spinose,symbiont-facultative spinose
62.85,-14.53,149,0,57,1,149,0,0,0
61.917,-24.05,114,0,72,7,150,0,0,0
28,-38.78333333,12,0,82,236,48,28,0,1
38.18333333,-73.51666667,29,0,139,6,140,0,0,0
50.93333333,-41.75,152,0,204,10,321,0,0,0
35.71666667,-67.33333333,92,0,122,146,79,1,0,1
36.13333333,-68.91666667,112,0,143,95,63,1,0,1
36.13333333,-69.13333333,56,0,116,201,77,1,0,0
35.78333333,-68.93333333,66,0,126,125,86,0,0,1
36.21666667,-69.4,68,0,120,154,79,1,0,0
31.83333333,-74.35,35,0,125,243,103,1,0,1
29.76666667,-76.8,5,0,113,163,18,14,0,0
19.4,-78.55,0,0,55,270,18,4,0,0
23.93333333,-75.75,0,0,39,259,24,45,0,0
24.8,-75.91666667,0,0,44,230,7,62,0,0
30.78333333,-67.66666667,45,0,43,246,58,1,0,2
39.13333333,-42.65,30,0,242,80,130,1,0,0
39.26666667,-36.7,83,0,93,153,89,2,0,2
33.56666667,-27.36666667,50,0,81,236,83,13,0,3
25.83333333,-19.3,13,0,98,254,76,17,0,0
5.283333333,-17.06666667,5,0,58,20,160,10,0,0
0.583333333,-21.78333333,0,1,72,210,10,7,0,0
-0.766666667,-26.03333333,1,0,81,245,10,4,0,0
-1.5,-27.01666667,2,0,141,146,64,1,0,0
10.55,-57.33333333,3,0,72,417,10,1,0,0
20.71666667,-59.2,1,0,29,330,40,3,0,0
12,51.9,171,2,100,72,8,8,0,0
10.25,53.16666667,80,0,190,45,39,1,0,0
8.983333333,51.73333333,35,1,177,61,41,6,0,0
8.9,51.61666667,67,0,196,93,1,7,0,0
9.216666667,60.21666667,38,5,218,88,68,4,0,0
20.15,69.43333333,27.5,1,80.5,161.5,3,27,0,0
20.11666667,67.91666667,25,0,141,160,0,8,0,0
21,59.55,133.5,0.5,87,81,6.5,15,0,0
20.83333333,61.01666667,87,1,143.5,79,5.5,2.5,0,0
17.43333333,57.18333333,124,5,117,98,4,11,0,0
16.23333333,54.76666667,104,2.5,155,66,10,10.5,0,0
15.26666667,54.63333333,112,3,171,66,9,5,0,0
14.93333333,57.35,117.5,1,155.5,50,6,7.5,0,0
-29.13333333,-34.56666667,17,0,127,572,115,31,0,0
13.58333333,71.56666667,42,9.5,161.5,149.5,12,11,0,0
9.9,74.18333333,74,8.5,149.5,119.5,16.5,2,0,0
7.033333333,73.4,71,15,157.5,152,18.5,25.5,0,0
-9.1,127.85,16,0,158,93,22,5,0,0
-4.883333333,133.8333333,28,0,129,52,39,1,0,0
-4.666666667,131.9833333,56,0,94,49,13,11,0,0
-2.633333333,130.6166667,65,0,234,102,13,2,0,0
-11.88333333,112.6833333,7,0,130,16,49,9,0,0
36.56666667,175.3833333,35,3,504,21,417,2,0,0
36.43333333,178.6333333,38,1,363,20,294,1,0,0
-13.3,46.98333333,10,3,59,228,8,3,0,0
-12.98333333,41.61666667,18,1,109,277,21,2,0,0
-13.18333333,41.4,19,0,86,311,12,9,0,0
-16.06666667,41.55,9,0,50,265,7,4,0,0
-11.51666667,41.83333333,22,1,168,415,15,28,0,2
19,-121.8833333,65,0,82,67,0,4,0,0
-8.283333333,-11.11666667,4,0,91,292,16,4,0,0
7.916666667,119.05,32,1,119,181,11,15,0,0
8.5,118.55,37,0,119,194,8,12,0,0
11.38333333,87.78333333,31,13,133,227,7,1,0,0
14.26666667,80.86666667,115,13,259,147,5,20,0,0
15.3,87.31666667,71,34,493,126,37,9,0,0
15.21666667,91.23333333,70,17,317,76,2,13,0,0
19,91.53333333,69,8,241,129,23,5,0,0
20.33333333,89.31666667,115,4,274,255,6,15,0,0
13.48333333,86.9,34,41,238,131,22,8,0,0
6.916666667,89.03333333,70,41,718,200,44,19,0,0
4.183333333,88.58333333,16,14,363,53,35,19,0,0
17.7,57.36666667,187,6,113,85,5,21,0,0
