Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose,SST
8.717,-41.25,0.152,0.025,0.006,0.145,0.676,0.0,0.0,0.0,22.81386695885846
-9.55,-34.25,0.097,0.009,0.013,0.017,0.909,0.0,0.0,0.0,22.737822917832176
21.3,-22.68,0.429333333333333,0.103,0.002,0.258333333333333,0.142333333333333,0.0,0.0,0.005,18.00356302992263
17.633,-45.87,0.165,0.0,0.033,0.02,0.783,0.0,0.0,0.0,20.46848613140381
56.083,-44.55,0.904,0.093,0.0,0.003,0.0,0.0,0.0,0.0,2.562437018454586
62.183,-27.93,0.947,0.048,0.0,0.0,0.004,0.0,0.0,0.0,5.545121477532395
54.25,-16.83,0.903,0.098,0.0,0.0096666666666666,0.002,0.0,0.0,0.0,8.472334417420704
52.583,-21.93,0.985,0.013,0.0,0.002,0.0,0.0,0.0,0.0,7.277943311799624
49.867,-24.25,0.984,0.011,0.0,0.004,0.0,0.0,0.0,0.0,5.60173669693933
46.0,-16.92,0.858,0.103,0.0,0.034,0.003,0.0,0.0,0.0,10.029974197107885
29.583,-28.57,0.237,0.063,0.033,0.222,0.445,0.0,0.0,0.0,17.353893804094085
23.117,-19.3,0.251,0.296,0.0,0.385,0.07,0.0,0.0,0.0,17.480777460138903
36.5,-73.5,0.175,0.152,0.0069999999999999,0.544,0.121,0.0,0.0,0.0,20.38631971653434
-32.03,-2.817,0.227,0.095,0.0,0.344,0.335,0.0,0.0,0.0,15.245706183373862
-34.45,-10.6,0.325,0.197,0.0,0.276,0.201,0.0,0.0,0.0,14.531967392076865
-33.25,-19.55,0.305,0.057,0.009,0.206,0.424,0.0,0.0,0.0,15.790325966211494
-32.2,-26.733,0.396,0.006,0.003,0.334,0.262,0.0,0.0,0.0,16.949152037864728
-31.73,-28.2,0.445,0.024,0.0,0.307,0.222,0.0,0.0,0.0,17.755981163486435
15.317,-77.95,0.168,0.006,0.031,0.071,0.724,0.0,0.0,0.0,22.724221524996455
12.55,-50.65,0.059,0.013,0.0,0.619,0.308,0.0,0.0,0.0,22.356967945666206
11.5,-45.15,0.19,0.026,0.042,0.11,0.635,0.0,0.0,0.0,22.183197709446645
-3.55,-35.23,0.161666666666667,0.023,0.0496666666666667,0.510333333333333,0.516,0.0,0.0,0.01,23.37694169462597
1.367,-33.48,0.153666666666667,0.0323333333333333,0.0106666666666667,0.299,0.353666666666667,0.0,0.0,0.0,23.263086850529742
3.283,-34.83,0.217,0.021,0.029,0.15,0.64,0.0,0.0,0.0,23.459738603154385
8.583,-53.17,0.099,0.069,0.006,0.07,0.755,0.0,0.0,0.0,23.18606390941997
-0.083,-41.78,0.258,0.004,0.027,0.134,0.658,0.0,0.0,0.0,23.256326959984857
4.683,-46.87,0.198,0.005,0.054,0.18,0.563,0.0,0.0,0.0,23.264919600312325
19.333,-26.12,0.204,0.056,0.024,0.355,0.41,0.0,0.0,0.0,18.45355988142435
9.567,-18.18,0.233,0.07,0.033,0.913,0.758,0.0,0.0,0.0,24.01659963312284
0.3,-14.8,0.149,0.009,0.0,0.755,0.087,0.0,0.0,0.0,22.353065488720755
-23.97,-37.95,0.218,0.032,0.037,0.098,0.612,0.0,0.0,0.0,21.646504262830973
-27.77,-37.25,0.253,0.028,0.043,0.099,0.58,0.0,0.0,0.0,20.451914527163698
56.9,-18.5,0.915,0.075,0.0,0.01,0.0,0.0,0.0,0.0,7.823423865993609
52.833,-30.33,0.952,0.046,0.0,0.003,0.0,0.0,0.0,0.0,4.202754405563914
42.7,-17.07,0.779,0.111,0.0,0.093,0.018,0.0,0.0,0.0,12.931040035925909
50.1,-37.3,0.997,0.0,0.0,0.003,0.0,0.0,0.0,0.0,2.951740980215703
8.8,-22.12,0.14,0.0,0.0,0.445,0.412,0.0,0.0,0.0,23.62850325902644
5.1,-26.65,0.102,0.04,0.002,0.309,0.693,0.0,0.0,0.0,23.76469849998439
52.1,-38.8,0.945,0.049,0.0,0.006,0.0,0.0,0.0,0.0,3.0363464752487905
54.0,-46.2,0.918,0.072,0.0,0.011,0.0,0.0,0.0,0.0,2.3351364396404604
-10.07,11.45,0.199,0.019,0.005,0.287,0.49,0.0,0.0,0.0,22.57004824025855
-0.233,7.55,0.102,0.067,0.003,0.25,0.576,0.0,0.0,0.0,23.170548146921917
-7.833,-1.517,0.096,0.058,0.003,0.659,0.182,0.0,0.0,0.0,21.94788642542343
3.05,-11.82,0.235,0.0,0.016,0.306,0.442,0.0,0.0,0.0,23.99130774156055
35.017,-40.92,0.295,0.139,0.003,0.277,0.288,0.0,0.0,0.0,18.30314607998946
17.033,-76.6,0.189,0.008,0.046,0.057,0.7,0.0,0.0,0.0,23.78070632523444
11.933,-78.68,0.098,0.013,0.051,0.068,0.767,0.0,0.0,0.0,22.882235969095472
11.65,-80.13,0.097,0.0046666666666666,0.0036666666666666,0.107,0.541,0.0,0.0,0.0,22.865799337290394
11.117,-80.4,0.169,0.003,0.049,0.091,0.687,0.0,0.0,0.0,22.865799337290394
2.767,-173.9,0.276,0.156,0.078,0.095,0.383,0.01,0.0,0.0,24.04358812237046
0.95,-179.4,0.215,0.097,0.025,0.198,0.439,0.024,0.0,0.0,24.011948090179033
-5.5,166.75,0.140455947136564,0.078546255506608,0.0212092511013216,0.216806167400881,0.332180616740088,0.0010506607929515,0.0,0.0,25.965829973230733
1.017,160.48,0.212,0.125,0.032,0.182,0.435,0.013,0.0,0.0,25.514928402156823
3.25,159.18,0.215,0.103,0.014,0.281,0.37,0.017,0.0,0.0,25.919579621620812
11.067,138.53,0.094,0.063,0.039,0.031,0.774,0.0,0.0,0.0,25.63889253246127
28.433,139.97,0.319,0.127,0.015,0.138,0.401,0.0,0.0,0.0,20.060193745692164
28.533,134.13,0.272,0.15,0.004,0.218,0.356,0.0,0.0,0.0,20.33877626157778
25.417,125.63,0.402,0.089,0.12,0.101,0.284,0.0,0.0,0.0,21.933978644683023
-14.1,120.5,0.12337037037037,0.0566666666666667,0.0453703703703704,0.296728395061728,0.430493827160494,0.0,0.0,0.0,25.049172622871332
-17.67,117.95,0.1635,0.101,0.048,0.2875,0.38,0.0,0.0,0.0,24.718162541048113
44.533,-32.58,0.854,0.102,0.0,0.024,0.02,0.0,0.0,0.0,9.302445924733584
-0.2,6.05,0.214,0.05,0.024,0.436,0.277,0.0,0.0,0.0,23.045266992453772
11.95,88.733,0.124,0.081,0.039,0.32,0.338,0.07,0.0,0.0,24.703838191631945
33.7,-29.38,0.3195,0.0335,0.0245,0.336,0.285,0.0,0.0,0.0,17.419676336197448
36.3,-29.37,0.309,0.124,0.0,0.27,0.296,0.0,0.0,0.0,16.23982634749543
41.533,-25.72,0.45,0.319,0.002,0.189,0.04,0.0,0.0,0.0,12.424094110571506
42.85,-25.15,0.543,0.337,0.0,0.103,0.015,0.0,0.0,0.0,11.46376915950343
44.017,-24.53,0.546,0.241666666666667,0.0006666666666666,0.128333333333333,0.0176666666666667,0.0,0.0,0.0,9.610705631445363
45.3,-23.87,0.683,0.272,0.0,0.031,0.013,0.0,0.0,0.0,8.735414552425793
5.117,77.583,0.199,0.228,0.033,0.342,0.192,0.003,0.0,0.0,25.47335881659932
3.083,76.25,0.461,0.158,0.041,0.813,0.503,0.025,0.0,0.0,25.683394164873484
-6.267,63.433,0.202,0.061,0.013,0.326,0.386,0.013,0.0,0.0,24.83822408430376
44.117,-32.5,0.591,0.338,0.0,0.06,0.011,0.0,0.0,0.0,9.302445924733584
5.35,-27.32,0.134,0.048,0.008,0.269,1.537,0.0,0.0,0.0,23.680709796887818
-0.2,-23.15,0.299666666666667,0.067,0.0033333333333333,0.312666666666667,0.219333333333333,0.0,0.0,0.003,22.715668475060852
0.217,-23.07,0.348,0.089,0.034,0.394,0.135,0.0,0.0,0.0,22.883587649809517
18.433,-21.08,0.159666666666667,0.253,0.0113333333333333,0.439,0.111,0.0,0.0,0.0,19.477670730923325
