Data_Source,Latitude,Longitude,O. universa,G. conglobatus,G. ruber albus,G. tenellus,T. sacculifer,S. dehiscens,G. siphonifera,G. calida,G. bulloides,G. falconensis,B. digitata,G. rubescens,T. quinqueloba,N. pachyderma,N. incompta,N. dutertrei,G. conglomerata,G. hexagonus,P. obliquiloculata,G. inflata,G. crassaformis,G. hirsuta,G. scitula,G. glutinata,G. truncatulinoides,G. aequilateralis,G. menardii,H. pelagica,G. ruber ruber,G. tumida,G. digitata,T. humilis,C. nitida,G. uvula,D. anfracta,G. theyeri,T. iota,G. cavernula,G. cultrata,G. tenella,G. adamsi,G. crassa,SST
climap,33.083,158.0,0.027,0.0,0.019,0.0,0.0,0.0,0.0,0.002,0.118,0.005,0.0,0.0,0.002,0.002,0.147,0.193,0.0,0.0,0.0,0.428,0.024,0.005,0.005,0.0,0.021,,,,,,,,,,,,,,,,,,16.235693598786494
climap,11.767,-81.1,0.006,0.039,0.487,0.0,0.071,0.0,0.087,0.0,0.003,0.006,0.003,0.019,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.023,0.01,0.003,0.152,0.003,0.042,,,,,,,,,,,,,,,,,,23.01813730997105
climap,3.333,-101.7,0.005,0.0,0.086,0.005,0.037,0.0,0.011,0.011,0.053,0.005,0.0,0.011,0.0,0.0,0.032,0.561,0.0,0.0,0.043,0.021,0.032,0.0,0.086,0.0,0.0,,,,,,,,,,,,,,,,,,22.274898977870347
climap,-0.917,-134.3,0.0,0.0,0.017,0.0,0.012,0.0,0.024,0.0,0.033,0.0,0.007,0.0,0.0,0.0,0.174,0.327,0.03,0.002,0.31,0.009,0.019,0.0,0.035,0.0,0.002,,,,,,,,,,,,,,,,,,20.88774130508748
climap,-43.52,79.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281,0.0,0.0,0.0,0.007,0.55,0.089,0.007,0.0,0.0,0.0,0.036,0.0,0.0,0.013,0.0,0.017,,,,,,,,,,,,,,,,,,7.157040524860816
climap,-39.72,82.25,0.003,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.319,0.12,0.0,0.0,0.093,0.09,0.086,0.083,0.0,0.0,0.0,0.063,0.0,0.007,0.083,0.003,0.043,,,,,,,,,,,,,,,,,,9.683578974621037
climap,-25.48,110.02,0.005,0.005,0.121,0.005,0.041,0.0,0.008,0.005,0.093,0.003,0.003,0.025,0.0,0.0,0.003,0.027,0.0,0.0,0.003,0.485,0.0,0.003,0.14,0.005,0.019,,,,,,,,,,,,,,,,,,20.232703533359874
climap,-19.07,112.75,0.011,0.018,0.259,0.028,0.028,0.0,0.028,0.039,0.039,0.039,0.0,0.057,0.0,0.011,0.011,0.085,0.0,0.0,0.018,0.085,0.0,0.018,0.209,0.0,0.018,,,,,,,,,,,,,,,,,,23.52985618215863
climap,-17.27,-35.97,0.011,0.005,0.692,0.019,0.041,0.0,0.014,0.008,0.008,0.008,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.005,0.011,0.146,0.0,0.008,,,,,,,,,,,,,,,,,,22.152657997008863
climap,1.817,-140.1,0.005,0.0,0.041,0.005,0.026,0.0,0.015,0.005,0.046,0.005,0.005,0.015,0.0,0.0,0.077,0.286,0.02,0.005,0.24,0.005,0.194,0.0,0.005,0.0,0.0,,,,,,,,,,,,,,,,,,21.648050977040626
climap,-6.133,-140.9,0.002,0.028,0.157,0.055,0.072,0.0,0.044,0.006,0.091,0.003,0.003,0.016,0.0,0.0,0.005,0.066,0.08,0.005,0.108,0.0,0.009,0.0,0.251,0.0,0.0,,,,,,,,,,,,,,,,,,24.554985326817633
climap,-14.82,-140.0,0.002,0.015,0.458,0.076,0.061,0.001,0.019,0.017,0.018,0.002,0.0,0.021,0.0,0.0,0.0,0.001,0.004,0.007,0.002,0.0,0.001,0.0,0.295,0.001,0.0,,,,,,,,,,,,,,,,,,24.7207695846304
climap,-8.8,-110.8,0.01,0.027,0.147,0.002,0.067,0.0,0.018,0.005,0.08,0.0,0.002,0.005,0.002,0.0,0.093,0.15,0.035,0.034,0.048,0.003,0.002,0.0,0.272,0.0,0.0,,,,,,,,,,,,,,,,,,21.944875623854387
climap,-28.58,-30.07,0.015,0.022,0.433,0.015,0.022,0.0,0.04,0.015,0.035,0.052,0.002,0.02,0.0,0.002,0.027,0.005,0.0,0.0,0.0,0.102,0.012,0.012,0.05,0.017,0.099,,,,,,,,,,,,,,,,,,19.608374924110443
climap,-35.78,18.45,0.007,0.003,0.02,0.0,0.007,0.0,0.0,0.027,0.114,0.007,0.003,0.0,0.01,0.01,0.344,0.264,0.017,0.0,0.0,0.13,0.0,0.0,0.03,0.0,0.007,,,,,,,,,,,,,,,,,,16.285866961586358
climap,-35.78,18.45,0.005,0.0,0.02,0.0,0.012,0.0,0.03,0.005,0.074,0.027,0.0,0.005,0.01,0.042,0.278,0.285,0.0,0.0,0.0,0.161,0.007,0.0,0.027,0.002,0.007,,,,,,,,,,,,,,,,,,16.285866961586358
climap,-26.0,169.2,0.017,0.069,0.206,0.008,0.03,0.0,0.034,0.018,0.083,0.146,0.002,0.0,0.001,0.0,0.032,0.019,0.0,0.0,0.002,0.16,0.061,0.003,0.09,0.002,0.017,,,,,,,,,,,,,,,,,,19.253023275777817
climap,-55.15,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.876,0.016,0.003,0.0,0.0,0.0,0.011,0.0,0.0,0.003,0.0,0.0,,,,,,,,,,,,,,,,,,2.4375464247453253
climap,-43.47,-57.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,0.0,0.0,0.0,0.012,0.244,0.036,0.057,0.0,0.0,0.0,0.253,0.0,0.003,0.015,0.0,0.051,,,,,,,,,,,,,,,,,,12.810270504438197
climap,-42.58,-17.8,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.153,0.003,0.0,0.0,0.083,0.252,0.146,0.092,0.0,0.0,0.0,0.217,0.019,0.0,0.016,0.0,0.016,,,,,,,,,,,,,,,,,,8.798182533620661
climap,-37.27,-10.1,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.354,0.008,0.0,0.0,0.098,0.053,0.201,0.082,0.0,0.0,0.0,0.1,0.0,0.003,0.047,0.0,0.048,,,,,,,,,,,,,,,,,,12.67508552801515
climap,-3.95,60.6,0.009,0.006,0.315,0.015,0.052,0.003,0.073,0.028,0.061,0.012,0.009,0.012,0.0,0.0,0.0,0.168,0.006,0.015,0.034,0.0,0.037,0.018,0.125,0.0,0.0,,,,,,,,,,,,,,,,,,25.17131953067957
climap,9.133,90.033,0.008,0.004,0.146,0.004,0.05,0.0,0.021,0.013,0.158,0.013,0.008,0.042,0.0,0.0,0.0,0.279,0.008,0.013,0.05,0.0,0.0,0.0,0.183,0.0,0.0,,,,,,,,,,,,,,,,,,24.89103979134993
climap,12.7,90.017,0.034,0.02,0.229,0.076,0.032,0.002,0.034,0.052,0.022,0.0,0.0,0.02,0.0,0.0,0.0,0.163,0.01,0.02,0.074,0.0,0.007,0.0,0.204,0.0,0.0,,,,,,,,,,,,,,,,,,24.78684381161562
climap,13.05,89.583,0.02,0.022,0.174,0.115,0.028,0.0,0.033,0.033,0.03,0.013,0.002,0.03,0.0,0.0,0.0,0.126,0.017,0.037,0.041,0.0,0.004,0.002,0.273,0.0,0.0,,,,,,,,,,,,,,,,,,24.697625781600642
