Event,Latitude,Longitude,Elevation,Depth sed,Species,Absolute Abundance
A179-15,24.8,-75.933,-3109,1.62,T. quinqueloba,
A179-15,24.8,-75.933,-3109,1.62,N. pachyderma,
A179-15,24.8,-75.933,-3109,1.62,N. incompta,
A179-15,24.8,-75.933,-3109,1.62,N. dutertrei,
A179-15,24.8,-75.933,-3109,1.62,G. conglomerata,
A179-15,24.8,-75.933,-3109,1.62,G. hexagonus,
A179-15,24.8,-75.933,-3109,1.62,P. obliquiloculata,
A179-15,24.8,-75.933,-3109,1.62,G. inflata,
A179-15,24.8,-75.933,-3109,1.62,G. crassaformis,
A179-15,24.8,-75.933,-3109,1.62,G. hirsuta,
A179-15,24.8,-75.933,-3109,1.62,G. scitula,
A179-15,24.8,-75.933,-3109,1.62,G. glutinata,
A179-15,24.8,-75.933,-3109,1.62,G. truncatulinoides,
A180-15,39.267,-36.7,-4610,0.6,O. universa,2
A180-15,39.267,-36.7,-4610,0.6,G. conglobatus,0
A180-15,39.267,-36.7,-4610,0.6,G. ruber albus,75
A180-15,39.267,-36.7,-4610,0.6,G. tenellus,0
A180-15,39.267,-36.7,-4610,0.6,T. sacculifer,5
A180-15,39.267,-36.7,-4610,0.6,S. dehiscens,0
A180-15,39.267,-36.7,-4610,0.6,G. siphonifera,2
A180-15,39.267,-36.7,-4610,0.6,G. calida,0
A180-15,39.267,-36.7,-4610,0.6,G. bulloides,70
A180-15,39.267,-36.7,-4610,0.6,G. falconensis,7
A180-15,39.267,-36.7,-4610,0.6,B. digitata,0
A180-15,39.267,-36.7,-4610,0.6,G. rubescens,2
A180-15,39.267,-36.7,-4610,0.6,T. quinqueloba,5
A180-15,39.267,-36.7,-4610,0.6,N. pachyderma,45
A180-15,39.267,-36.7,-4610,0.6,N. incompta,118
A180-15,39.267,-36.7,-4610,0.6,N. dutertrei,88
A180-15,39.267,-36.7,-4610,0.6,G. conglomerata,0
A180-15,39.267,-36.7,-4610,0.6,G. hexagonus,0
