Event,Latitude,Longitude,Elevation,Depth,Species,Absolute Abundance
A167-12,31.8333,-74.35,-4700,10,G. adamsi,0
A167-12,31.8333,-74.35,-4700,10,G. aequilateralis,23
A167-12,31.8333,-74.35,-4700,10,G. calida,2
A167-12,31.8333,-74.35,-4700,10,G. bulloides,34
A167-12,31.8333,-74.35,-4700,10,G. falconensis,10
A167-12,31.8333,-74.35,-4700,10,G. digitata,1
A167-12,31.8333,-74.35,-4700,10,G. rubescens,0
A167-12,31.8333,-74.35,-4700,10,T. humilis,1
A167-12,31.8333,-74.35,-4700,10,T. quinqueloba,0
A167-12,31.8333,-74.35,-4700,10,N. pachyderma,0
A167-12,31.8333,-74.35,-4700,10,N. incompta,0
A167-12,31.8333,-74.35,-4700,10,N. dutertrei,43
A167-12,31.8333,-74.35,-4700,10,G. conglomerata,0
A167-12,31.8333,-74.35,-4700,10,G. hexagonus,0
A167-12,31.8333,-74.35,-4700,10,P. obliquiloculata,18
A167-12,31.8333,-74.35,-4700,10,G. inflata,33
A167-12,31.8333,-74.35,-4700,10,T. truncatulinoides,59
A167-12,31.8333,-74.35,-4700,10,G. crassaformis,0
A167-12,31.8333,-74.35,-4700,10,G. hirsuta,23
A167-12,31.8333,-74.35,-4700,10,G. scitula,0
A167-12,31.8333,-74.35,-4700,10,D. anfracta,0
A167-12,31.8333,-74.35,-4700,10,G. cultrata,20
A167-12,31.8333,-74.35,-4700,10,G. tumida,19
A167-12,31.8333,-74.35,-4700,10,C. nitida,0
A167-12,31.8333,-74.35,-4700,10,G. glutinata,21
A167-12,31.8333,-74.35,-4700,10,T. iota,0
A167-12,31.8333,-74.35,-4700,10,G. uvula,0
A167-12,31.8333,-74.35,-4700,10,B. pumilio,0
A167-12,31.8333,-74.35,-4700,10,H. pelagica,0
A167-12,31.8333,-74.35,-4700,10,H. digitata,0
A167-13,31.65,-75.35,-2880,11,O. universa,2
A167-13,31.65,-75.35,-2880,11,G. conglobatus,6
A167-13,31.65,-75.35,-2880,11,G. ruber ruber,24
A167-13,31.65,-75.35,-2880,11,G. ruber albus,275
A167-13,31.65,-75.35,-2880,11,G. tenellus,10
A167-13,31.65,-75.35,-2880,11,T. sacculifer,65
A167-13,31.65,-75.35,-2880,11,S. dehiscens,0
A167-13,31.65,-75.35,-2880,11,G. adamsi,0
A167-13,31.65,-75.35,-2880,11,G. aequilateralis,41
A167-13,31.65,-75.35,-2880,11,G. calida,13
A167-13,31.65,-75.35,-2880,11,G. bulloides,13
A167-13,31.65,-75.35,-2880,11,G. falconensis,69
A167-13,31.65,-75.35,-2880,11,G. digitata,0
A167-13,31.65,-75.35,-2880,11,G. rubescens,5
A167-13,31.65,-75.35,-2880,11,T. humilis,3
A167-13,31.65,-75.35,-2880,11,T. quinqueloba,0
A167-13,31.65,-75.35,-2880,11,N. pachyderma,3
A167-13,31.65,-75.35,-2880,11,N. incompta,3
A167-13,31.65,-75.35,-2880,11,N. dutertrei,18
A167-13,31.65,-75.35,-2880,11,G. conglomerata,0
A167-13,31.65,-75.35,-2880,11,G. hexagonus,0
A167-13,31.65,-75.35,-2880,11,P. obliquiloculata,27
A167-13,31.65,-75.35,-2880,11,G. inflata,5
A167-13,31.65,-75.35,-2880,11,T. truncatulinoides,83
A167-13,31.65,-75.35,-2880,11,G. crassaformis,0
A167-13,31.65,-75.35,-2880,11,G. hirsuta,17
A167-13,31.65,-75.35,-2880,11,G. scitula,1
A167-13,31.65,-75.35,-2880,11,D. anfracta,0
A167-13,31.65,-75.35,-2880,11,G. cultrata,25
A167-13,31.65,-75.35,-2880,11,G. tumida,5
A167-13,31.65,-75.35,-2880,11,C. nitida,1
A167-13,31.65,-75.35,-2880,11,G. glutinata,52
A167-13,31.65,-75.35,-2880,11,T. iota,0
A167-13,31.65,-75.35,-2880,11,G. uvula,0
A167-13,31.65,-75.35,-2880,11,B. pumilio,0
A167-13,31.65,-75.35,-2880,11,H. pelagica,0
A167-13,31.65,-75.35,-2880,11,H. digitata,0
A167-18TW,29.7667,-76.8,-1015,12,O. universa,2
A167-18TW,29.7667,-76.8,-1015,12,G. conglobatus,2
A167-18TW,29.7667,-76.8,-1015,12,G. ruber ruber,5
A167-18TW,29.7667,-76.8,-1015,12,G. ruber albus,94
A167-18TW,29.7667,-76.8,-1015,12,G. tenellus,9
A167-18TW,29.7667,-76.8,-1015,12,T. sacculifer,19
A167-18TW,29.7667,-76.8,-1015,12,S. dehiscens,0
A167-18TW,29.7667,-76.8,-1015,12,G. adamsi,0
A167-18TW,29.7667,-76.8,-1015,12,G. aequilateralis,21
A167-18TW,29.7667,-76.8,-1015,12,G. calida,12
A167-18TW,29.7667,-76.8,-1015,12,G. bulloides,1
A167-18TW,29.7667,-76.8,-1015,12,G. falconensis,3
A167-18TW,29.7667,-76.8,-1015,12,G. digitata,0
A167-18TW,29.7667,-76.8,-1015,12,G. rubescens,6
A167-18TW,29.7667,-76.8,-1015,12,T. humilis,0
A167-18TW,29.7667,-76.8,-1015,12,T. quinqueloba,0
A167-18TW,29.7667,-76.8,-1015,12,N. pachyderma,0
A167-18TW,29.7667,-76.8,-1015,12,N. incompta,0
A167-18TW,29.7667,-76.8,-1015,12,N. dutertrei,8
A167-18TW,29.7667,-76.8,-1015,12,G. conglomerata,0
A167-18TW,29.7667,-76.8,-1015,12,G. hexagonus,0
A167-18TW,29.7667,-76.8,-1015,12,P. obliquiloculata,5
A167-18TW,29.7667,-76.8,-1015,12,G. inflata,1
A167-18TW,29.7667,-76.8,-1015,12,T. truncatulinoides,12
A167-18TW,29.7667,-76.8,-1015,12,G. crassaformis,0
A167-18TW,29.7667,-76.8,-1015,12,G. hirsuta,1
A167-18TW,29.7667,-76.8,-1015,12,G. scitula,3
A167-18TW,29.7667,-76.8,-1015,12,D. anfracta,0
A167-18TW,29.7667,-76.8,-1015,12,G. cultrata,5
A167-18TW,29.7667,-76.8,-1015,12,G. tumida,1
A167-18TW,29.7667,-76.8,-1015,12,C. nitida,1
A167-18TW,29.7667,-76.8,-1015,12,G. glutinata,94
A167-18TW,29.7667,-76.8,-1015,12,T. iota,0
A167-18TW,29.7667,-76.8,-1015,12,G. uvula,0
A167-18TW,29.7667,-76.8,-1015,12,B. pumilio,0
A167-18TW,29.7667,-76.8,-1015,12,H. pelagica,0
A167-18TW,29.7667,-76.8,-1015,12,H. digitata,0
A167-1TW,37.65,-72.95,-2706,13,O. universa,3
A167-1TW,37.65,-72.95,-2706,13,G. conglobatus,13
A167-1TW,37.65,-72.95,-2706,13,G. ruber ruber,0
A167-1TW,37.65,-72.95,-2706,13,G. ruber albus,5
A167-1TW,37.65,-72.95,-2706,13,G. tenellus,0
A167-1TW,37.65,-72.95,-2706,13,T. sacculifer,6
A167-1TW,37.65,-72.95,-2706,13,S. dehiscens,0
A167-1TW,37.65,-72.95,-2706,13,G. adamsi,0
A167-1TW,37.65,-72.95,-2706,13,G. aequilateralis,0
A167-1TW,37.65,-72.95,-2706,13,G. calida,0
A167-1TW,37.65,-72.95,-2706,13,G. bulloides,14
A167-1TW,37.65,-72.95,-2706,13,G. falconensis,2
